@relation 'SMILEfeatures-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.CfsSubsetEval-Sweka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N 40-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.ChiSquaredAttributeEval-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 40-weka.filters.MultiFilter-Fweka.filters.supervised.attribute.AttributeSelection -E \"weka.attributeSelection.CfsSubsetEval \" -S \"weka.attributeSelection.GreedyStepwise -T -1.7976931348623157E308 -N 40\"-Fweka.filters.supervised.attribute.AttributeSelection -E \"weka.attributeSelection.ChiSquaredAttributeEval \" -S \"weka.attributeSelection.Ranker -T -1.7976931348623157E308 -N 40\"'

@attribute F0finEnv_sma_quartile2 numeric
@attribute F0finEnv_sma_amean numeric
@attribute F0finEnv_sma_quartile1 numeric
@attribute F0final_sma_quartile2 numeric
@attribute F0final_sma_amean numeric
@attribute F0final_sma_quartile3 numeric
@attribute F0finEnv_sma_quartile3 numeric
@attribute F0final_sma_quartile1 numeric
@attribute F0finEnv_sma_linregc2 numeric
@attribute F0finEnv_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_percentile99.0 numeric
@attribute voicingFinalUnclipped_sma_pctlrange0-1 numeric
@attribute mfcc_sma[11]_amean numeric
@attribute mfcc_sma[11]_linregc2 numeric
@attribute mfcc_sma[11]_percentile99.0 numeric
@attribute mfcc_sma[14]_quartile1 numeric
@attribute lspFreq_sma_de[5]_linregerrA numeric
@attribute mfcc_sma[12]_amean numeric
@attribute mfcc_sma[12]_linregc2 numeric
@attribute mfcc_sma[12]_quartile1 numeric
@attribute mfcc_sma[11]_percentile1.0 numeric
@attribute lspFreq_sma[7]_quartile2 numeric
@attribute lspFreq_sma[7]_quartile1 numeric
@attribute lspFreq_sma[7]_amean numeric
@attribute lspFreq_sma_de[4]_percentile99.0 numeric
@attribute F0finEnv_sma_de_linregc1 numeric
@attribute lspFreq_sma_de[5]_pctlrange0-1 numeric
@attribute mfcc_sma[12]_percentile1.0 numeric
@attribute mfcc_sma[12]_percentile99.0 numeric
@attribute lspFreq_sma[4]_skewness numeric
@attribute mfcc_sma[2]_iqr1-2 numeric
@attribute voicingFinalUnclipped_sma_quartile2 numeric
@attribute mfcc_sma[5]_linregerrA numeric
@attribute mfcc_sma[2]_pctlrange0-1 numeric
@attribute lspFreq_sma[6]_skewness numeric
@attribute mfcc_sma[10]_quartile3 numeric
@attribute mfcc_sma[10]_amean numeric
@attribute jitterDDP_sma_de_linregc1 numeric
@attribute mfcc_sma[13]_percentile99.0 numeric
@attribute mfcc_sma_de[9]_percentile99.0 numeric
@attribute gender {m,f}

@data
214.2479,200.0632,171.7238,178.8399,178.7007,217.5508,230.2825,156.8956,176.9005,239.0464,0.852312,0.852312,-9.067137,-7.468521,16.47726,-19.25899,0.018029,-1.799374,-7.2452,-8.555664,-30.36548,2.324037,2.293725,2.309794,0.049441,-0.014527,0.136174,-19.65989,17.19873,0.196009,9.511816,0.748239,16.06365,58.31013,-2.604649,8.810519,-0.276708,-0.000002,29.12368,9.829414,f
167.8504,166.7149,147.9451,161.6861,153.4523,173.315,185.2722,133.1551,186.4465,209.9024,0.846272,0.846272,5.030648,4.435259,22.35423,-15.23127,0.016447,-4.134823,-4.2305,-9.647549,-14.0513,2.298497,2.238727,2.280583,0.058125,-0.014004,0.099633,-20.68917,10.83559,0.600762,12.12823,0.749116,8.923997,53.57227,-0.439663,1.599838,-6.894942,-0.000002,22.1595,6.583281,f
139.5209,138.9234,134.1134,136.2085,129.0382,149.1856,152.2625,125.3721,144.4796,157.5292,0.805257,0.805257,4.423083,8.06221,31.40129,-5.707784,0.030665,-9.370593,-16.01706,-17.80557,-27.05977,2.262985,2.208415,2.249432,0.150856,-0.011499,0.234679,-38.11884,16.37058,0.623465,8.034423,0.745174,13.3337,57.06171,-0.867348,14.37177,5.418244,-0.000003,35.10436,8.032042,m
152.1246,154.5482,142.0771,147.9818,143.5102,160.6541,160.7264,136.2113,153.1193,237.6214,0.818511,0.440073,5.547654,-1.191408,41.88648,-8.487492,0.028387,-9.918757,-13.30291,-18.75019,-16.1634,2.271027,2.234811,2.260923,0.078405,-0.000256,0.191122,-36.61713,15.27794,0.809691,10.4672,0.76324,12.04462,50.60498,-1.307653,17.7986,8.387858,-0.000002,39.33821,9.809235,m
108.7545,110.3073,104.3678,107.2898,97.19999,116.8239,122.3182,77.65244,105.7725,145.9042,0.775145,0.775145,-7.987413,-6.254704,30.63411,-10.32214,0.02767,-10.18293,-7.421068,-16.61177,-30.49225,2.248355,2.113286,2.19628,0.09781,-0.009427,0.228394,-34.57858,16.42696,1.456774,18.06858,0.698647,16.03876,73.36,-0.217436,16.58547,8.085931,-0.00001,27.6425,9.141422,m
112.0855,110.2347,104.1648,107.9507,103.5732,126.1596,127.2738,85.977,92.81027,159.5539,0.794822,0.794822,-6.38898,-10.07291,31.1592,-9.708447,0.028903,-8.629931,-10.27042,-13.80013,-31.28554,2.234839,2.108449,2.197141,0.114058,-0.009326,0.202776,-26.77246,6.779723,0.962937,8.723721,0.723208,12.18509,55.88455,-0.241044,17.65194,8.242611,-0.000005,21.2291,10.26534,m
196.72,195.5476,171.1028,204.1304,196.1921,221.645,223.4609,181.8656,156.5727,248.1375,0.850051,0.850051,-13.35507,-11.47767,17.39757,-18.93712,0.025538,-6.124228,-0.18087,-12.42768,-45.97005,2.302,2.259395,2.295059,0.098984,-0.014757,0.153727,-36.77252,14.37836,0.075255,10.94356,0.790839,15.15878,51.54099,-0.63014,5.67506,-4.066429,-0.000003,28.90836,7.824616,f
177.0245,179.1918,172.4368,176.2818,169.5711,186.7589,187.3592,169.4483,184.0926,203.1866,0.839785,0.839785,-9.211616,-1.198319,33.74109,-19.27379,0.027618,0.232613,3.339589,-6.459801,-35.41019,2.275378,2.18169,2.25306,0.065705,-0.006063,0.171758,-27.72818,17.90449,0.414017,11.58221,0.791799,13.5524,50.61968,-0.075859,6.225206,-3.266067,-0.000001,30.22485,8.507784,f
180.7623,175.0265,160.5698,178.1443,158.5223,191.3167,191.6977,123.9811,177.4414,232.5147,0.853703,0.853703,-12.31622,-17.63286,11.6671,-16.46647,0.020602,-4.929947,-4.067154,-10.76626,-44.92184,2.289867,2.261221,2.283843,0.06253,-0.018635,0.151327,-27.46302,16.78061,0.653263,10.96199,0.72641,9.602642,63.57737,-1.113052,3.294678,-2.119035,-0.000004,21.01028,8.341425,f
199.6041,197.0292,184.1784,196.923,175.2432,206.2615,207.879,147.0569,218.535,237.6397,0.833563,0.833563,-10.61596,-16.07011,13.28814,-14.22534,0.027287,-7.259174,-6.976385,-13.2075,-38.77192,2.280448,2.241281,2.269991,0.071736,-0.01127,0.182898,-26.51485,13.91882,0.996886,10.35771,0.738265,9.776458,62.78453,-1.148803,11.17138,2.167242,-0.000001,9.420024,6.82304,f
